ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
321,Italy,IT,ITA,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
322,Italy,IT,ITA,Climate-driven INFORM Risk Indicator,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMR,Climate-Driven Inform Risk Indicator,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.5,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5
323,Italy,IT,ITA,Lack of coping capacity,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMC,"Index for Risk Management; Lack of Coping Capacity","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.8,2.4,2.4,2.3,2.2,2.2,2.1,2.2,2.2,2.2
324,Italy,IT,ITA,Vulnerability,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMV,"Index for Risk Management; Vulnerability","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",1.9,2.1,2.3,2.4,2.6,2.5,2.5,2.2,2.6,2.6
325,Jamaica,JM,JAM,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
326,Jamaica,JM,JAM,Climate-driven INFORM Risk Indicator,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMR,Climate-Driven Inform Risk Indicator,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",3.8,3.8,3.7,3.7,3.6,3.5,3.4,3.5,3.5,3.5
327,Jamaica,JM,JAM,Lack of coping capacity,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMC,"Index for Risk Management; Lack of Coping Capacity","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4,4,3.9,3.8,3.6,3.6,3.5,3.6,3.6,3.6
328,Jamaica,JM,JAM,Vulnerability,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMV,"Index for Risk Management; Vulnerability","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.8,2.9,2.6,2.8,2.6,2.4,2.4,2.5,2.5,2.5
329,Japan,JP,JPN,Climate-driven Hazard & Exposure,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMH,Climate-Driven Hazard & Exposure,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
330,Japan,JP,JPN,Climate-driven INFORM Risk Indicator,Index,"Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk. Accessed on 2022-11-14; IMF staff calculations.",ECFRMR,Climate-Driven Inform Risk Indicator,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.4
